Loan_ID,Customer_Type,Annual_Income,Loan_Amount,Debt_to_Income,Credit_History_Length,Interest_Rate,Loan_Term_Months,Past_Default,PD,Risk_Tier,Recommended
96,Retail,478345,965614,0.54,15,12.57,60,0,0.3,Very High Risk,Reject
53,Corporate,3629865,36069,0.68,11,12.77,24,0,0.3,Very High Risk,Reject
40,Retail,1256607,276776,0.57,6,4.49,24,0,0.29,Very High Risk,Reject
65,Retail,817494,719913,0.4,19,9.03,12,0,0.29,Very High Risk,Reject
38,Corporate,4859040,780173,0.47,5,12.97,60,0,0.28,Very High Risk,Reject
66,Retail,1231193,582735,0.88,21,5.79,36,0,0.28,Very High Risk,Reject
57,Retail,2347336,480951,0.79,4,13.53,12,0,0.28,Very High Risk,Reject
54,Retail,4229790,745265,0.59,22,10.98,12,0,0.28,Very High Risk,Reject
13,Corporate,561831,670482,0.87,6,8.11,36,0,0.28,Very High Risk,Reject
94,Corporate,1721738,872755,0.52,3,4.53,36,0,0.28,Very High Risk,Reject
64,Retail,2416488,204053,0.58,19,11.97,36,1,0.28,Very High Risk,Reject
60,Retail,1839891,606562,0.4,24,8.27,24,0,0.27,Very High Risk,Reject
86,Corporate,1367682,154990,0.28,24,3.4,12,0,0.27,Very High Risk,Reject
44,Retail,1642818,409384,0.66,11,3.8,36,0,0.26,Very High Risk,Reject
68,Retail,3039758,922826,0.77,18,7.61,48,0,0.26,Very High Risk,Reject
90,Retail,2645075,533138,0.19,4,7.1,12,1,0.26,Very High Risk,Reject
92,Retail,4472987,766254,0.52,8,4.33,60,0,0.26,Very High Risk,Reject
49,Retail,4128502,659324,0.23,15,12.54,24,0,0.25,Very High Risk,Reject
71,Retail,4262406,813692,0.32,21,10.49,12,0,0.25,Very High Risk,Reject
69,Retail,563636,609991,0.47,10,9.52,36,0,0.25,Very High Risk,Reject
31,Retail,4285780,231897,0.32,10,11.18,24,0,0.25,Very High Risk,Reject
83,Corporate,547313,197210,0.2,15,6.74,12,0,0.24,High Risk,Review & Monitor
95,Corporate,2938873,805543,0.78,20,7.77,36,1,0.24,High Risk,Review & Monitor
46,Retail,3255187,541849,0.35,16,9.89,12,0,0.24,High Risk,Review & Monitor
32,Corporate,1385531,11062,0.86,24,12.12,12,0,0.24,High Risk,Review & Monitor
98,Corporate,3715501,656465,0.8,24,5.75,60,0,0.23,High Risk,Review & Monitor
23,Retail,2213151,639474,0.52,24,3.62,48,0,0.23,High Risk,Review & Monitor
26,Corporate,100640,580559,0.46,10,3.76,60,0,0.22,High Risk,Review & Monitor
79,Corporate,555830,535893,0.86,17,9.4,48,1,0.22,High Risk,Review & Monitor
8,Corporate,4227571,377257,0.87,11,9.86,60,0,0.22,High Risk,Review & Monitor
14,Retail,3019475,814462,0.11,18,9.09,48,0,0.22,High Risk,Review & Monitor
1,Corporate,2676791,399593,0.47,15,13.39,36,0,0.22,High Risk,Review & Monitor
45,Retail,2305504,642387,0.53,11,11.89,60,0,0.22,High Risk,Review & Monitor
33,Corporate,705510,257736,0.81,17,10.15,36,1,0.21,High Risk,Review & Monitor
56,Corporate,3802811,345623,0.85,8,7.31,48,0,0.21,High Risk,Review & Monitor
28,Retail,2030991,441734,0.57,17,6.87,24,0,0.21,High Risk,Review & Monitor
77,Corporate,4456219,954789,0.54,14,12.53,36,0,0.21,High Risk,Review & Monitor
62,Retail,2449862,372920,0.89,3,8.55,36,1,0.21,High Risk,Review & Monitor
48,Retail,4690456,616440,0.65,19,4.68,12,0,0.21,High Risk,Review & Monitor
12,Corporate,2258636,932630,0.28,2,6.88,24,0,0.2,High Risk,Review & Monitor
47,Corporate,4634299,477010,0.75,11,13.1,60,1,0.2,High Risk,Review & Monitor
85,Retail,3492565,872557,0.58,15,11.93,12,0,0.19,Medium Risk,Approve with Conditions
87,Retail,1316643,168518,0.64,11,9.84,48,0,0.18,Medium Risk,Approve with Conditions
18,Retail,4741075,572926,0.52,19,6.46,12,0,0.18,Medium Risk,Approve with Conditions
