Strike,Option_Type,Delta,Gamma,Vega,Theta,Hedge_Action,Hedge_Cost_INR,Rebalance_Urgency
21700,Call,0.707253591847933,0.000930125165670557,9.64245209684922,-13.298276772196575,"Short 1,768 NIFTY units",-38673939.2,NORMAL
21750,Call,0.6572834696606207,0.0009838123841748364,10.307354069086568,-13.959924603635496,"Short 1,643 NIFTY units",-35939639.2,HIGH
21800,Call,0.6062153099856971,0.0010252289679445932,10.789657699998703,-14.355747003087876,"Short 1,516 NIFTY units",-33161590.400000002,HIGH
21850,Call,0.5536071998432812,0.0010433853576221573,11.087426953090905,-14.60778640696788,"Short 1,384 NIFTY units",-30274169.6,HIGH
21900,Call,0.5011428043238482,0.0010497929365139021,11.188545345856172,-14.559102023716676,"Short 1,253 NIFTY units",-27408623.200000003,HIGH
21950,Call,0.44904191976935576,0.001038921266559613,11.097191768990456,-14.284839716208388,"Short 1,123 NIFTY units",-24564951.200000003,HIGH
22000,Call,0.398065655076803,0.0010116064373729677,10.821343363842656,-13.795798377465259,Short 995 NIFTY units,-21765028.0,HIGH
22050,Call,0.3495741189716919,0.0009657021871949926,10.38346765593796,-13.174345583955636,Short 874 NIFTY units,-19118225.6,NORMAL
22100,Call,0.3038453398604334,0.0009081230768741173,9.807220368364971,-12.391545814265182,Short 760 NIFTY units,-16624544.000000002,NORMAL
22150,Call,0.26206841199401926,0.0008396842604853005,9.13416552764124,-11.537129835141162,Short 655 NIFTY units,-14327732.000000002,NORMAL
22200,Call,0.22323109566266586,0.0007669955830338286,8.373615477574903,-10.546225957216707,Short 558 NIFTY units,-12205915.200000001,NORMAL
21700,Put,-0.31211189051782096,0.0008565090378369314,9.923511599104975,-10.950364570843378,Long 780 NIFTY units,17062032.0,NORMAL
21750,Put,-0.35634516365793556,0.0009030062302669764,10.455125289239755,-11.418885360346097,Long 891 NIFTY units,19490090.400000002,NORMAL
21800,Put,-0.4026773612483665,0.0009368193494159356,10.853986670908846,-11.733258479319268,"Long 1,007 NIFTY units",22027520.8,NORMAL
21850,Put,-0.4503861406150088,0.0009543345741931352,11.101956384576901,-11.903327425361077,"Long 1,126 NIFTY units",24630574.400000002,NORMAL
21900,Put,-0.49832539305716894,0.0009585328391322701,11.188492680268535,-11.865471727869046,"Long 1,246 NIFTY units",27255502.400000002,NORMAL
21950,Put,-0.5457885180484978,0.0009477502579886264,11.11481502826693,-11.649452845533423,"Long 1,364 NIFTY units",29836681.6,NORMAL
22000,Put,-0.59213369339002,0.0009247630403210819,10.888873420443549,-11.23738364473216,"Long 1,480 NIFTY units",32374112.000000004,NORMAL
22050,Put,-0.6368611957229249,0.000890762404779195,10.523555518007123,-10.645636636724053,"Long 1,592 NIFTY units",34824044.800000004,NORMAL
22100,Put,-0.6772553492473159,0.0008385603836073269,10.065133961406072,-10.109445206126354,"Long 1,693 NIFTY units",37033359.2,NORMAL
22150,Put,-0.7202029806146681,0.000796711671065691,9.43749720270161,-8.980780481170546,"Long 1,801 NIFTY units",39395794.400000006,NORMAL
22200,Put,-0.7502578920200518,0.0007259287592958067,8.907365750177165,-8.591738385324069,"Long 1,876 NIFTY units",41036374.400000006,NORMAL
