Project_ID,Department,Investment_Cost,NPV,Predicted_NPV,Expected_IRR,Predicted_IRR,Predicted_Success_Probability,Risk_Encoded,Risk_Adjusted_Score,Recommendation,Rank
45,Marketing,"$1,411,736","$2,806,794","$1,985,301",106.45%,79.85%,71.6%,1,"1,421,133",Fund,1
39,Finance,"$1,146,797","$2,131,233","$2,132,914",78.42%,83.61%,58.5%,1,"1,247,542",Fund,2
43,IT,"$664,685","$3,653,868","$2,879,294",196.41%,169.45%,67.2%,2,"967,734",Fund,3
35,IT,"$296,769","$3,690,876","$3,389,576",615.74%,477.80%,55.1%,2,"933,678",Fund,4
41,Operations,"$1,684,398","$1,937,934","$1,988,535",55.88%,61.98%,61.9%,2,"615,282",Fund,5
2,Marketing,"$2,054,354","$-81,821","$780,762",6.95%,31.94%,75.6%,1,"590,416",Fund,6
28,IT,"$1,873,415","$338,974","$1,186,871",19.98%,40.39%,81.5%,2,"483,557",Fund,7
25,Marketing,"$1,970,928","$1,670,666","$1,256,420",56.43%,40.96%,69.7%,2,"438,015",Fund,8
15,Marketing,"$1,565,689","$1,075,732","$1,543,720",41.67%,53.73%,57.4%,3,"295,592",Fund,9
36,Finance,"$2,758,505","$1,079,105","$749,075",31.46%,24.24%,73.8%,2,"276,508",Fund,10
9,Operations,"$2,686,644","$1,360,695","$656,265",36.10%,22.82%,74.3%,2,"243,906",Fund,11
3,Finance,"$2,516,182","$2,121,152","$1,007,723",49.14%,29.53%,72.4%,3,"243,109",Fund,12
40,Operations,"$3,147,262","$985,981","$412,434",26.44%,16.84%,71.5%,2,"147,499",Fund,13
42,Operations,"$2,685,031","$853,386","$487,690",23.38%,18.73%,86.1%,3,"140,035",Fund,14
14,Operations,"$2,895,513","$-2,576,401","$263,111",-58.75%,14.65%,84.8%,2,"111,567",Fund,15
13,Operations,"$3,485,357","$1,569,700","$90,756",32.15%,11.39%,71.9%,1,"65,289",Fund,16
37,Marketing,"$1,371,741","$3,079,459","$2,312,804",115.69%,91.18%,46.8%,2,"541,006",Review,17
17,Marketing,"$1,925,665","$210,396","$634,449",17.23%,27.56%,43.2%,1,"273,773",Review,18
33,Marketing,"$2,195,505","$2,075,820","$811,654",50.56%,29.03%,45.9%,2,"186,248",Review,19
10,IT,"$2,670,406","$1,077,058","$438,523",31.28%,19.02%,51.6%,3,"75,373",Review,20
27,IT,"$2,657,489","$128,161","$462,123",12.13%,19.20%,42.9%,3,"66,097",Review,21
34,IT,"$2,399,435","$-573,499","$150,166",-2.52%,13.38%,40.3%,1,"60,471",Review,22
16,Finance,"$168,148","$3,290,090","$3,424,764",406.04%,582.87%,27.2%,1,"930,782",Reject,23
1,Operations,"$184,654","$3,706,072","$3,299,038",470.45%,525.30%,21.2%,1,"700,442",Reject,24
46,Marketing,"$1,107,293","$2,887,763","$1,876,740",124.46%,82.56%,31.1%,1,"583,841",Reject,25
31,Finance,"$371,836","$2,098,879","$3,278,041",123.87%,305.21%,33.9%,2,"554,871",Reject,26
7,Finance,"$628,178","$2,054,605","$2,613,037",133.56%,160.07%,28.6%,2,"373,237",Reject,27
49,IT,"$123,247","$4,281,887","$3,198,992",1144.82%,811.80%,26.0%,3,"276,801",Reject,28
50,IT,"$2,804,238","$59,539","$375,535",10.98%,16.94%,27.3%,2,"51,258",Reject,29
20,Operations,"$3,103,758","$979,412","$247,953",23.61%,14.34%,33.5%,2,"41,589",Reject,30
6,Marketing,"$2,528,388","$-252,243","$93,069",4.80%,12.02%,20.0%,1,"18,574",Reject,31
8,Finance,"$2,763,046","$-327,587","$-11,608",4.59%,9.79%,80.6%,3,"-3,118",Reject,32
29,Marketing,"$2,405,413","$-962,472","$-176,255",-13.78%,5.85%,20.1%,3,"-11,785",Reject,33
5,Operations,"$2,752,991","$-650,973","$-259,905",-5.97%,4.59%,35.1%,3,"-30,444",Reject,34
44,Marketing,"$2,979,190","$-969,196","$-218,188",-19.92%,5.33%,53.0%,3,"-38,526",Reject,35
22,Finance,"$2,769,995","$-1,106,186","$-268,166",-11.60%,4.93%,67.5%,3,"-60,330",Reject,36
18,Marketing,"$2,845,683","$1,574,202","$-109,733",36.17%,7.90%,57.7%,1,"-63,342",Reject,37
11,Operations,"$3,516,664","$53,253","$-403,080",11.03%,3.30%,44.3%,2,"-89,263",Reject,38
48,Operations,"$3,466,612","$-516,582","$-300,406",1.71%,5.16%,37.1%,1,"-111,361",Reject,39
19,Marketing,"$3,497,723","$-396,826","$-446,412",5.12%,3.50%,55.7%,2,"-124,398",Reject,40
38,Finance,"$3,869,315","$-1,241,652","$-797,332",-8.46%,-1.91%,32.0%,2,"-127,487",Reject,41
21,IT,"$4,156,518","$-906,166","$-1,288,464",-4.58%,-8.89%,40.6%,3,"-174,292",Reject,42
4,Operations,"$3,574,675","$-688,353","$-572,342",-1.99%,0.92%,70.3%,2,"-201,315",Reject,43
30,Marketing,"$4,010,197","$300,317","$-1,069,123",14.10%,-6.12%,22.6%,1,"-241,437",Reject,44
32,Finance,"$3,684,702","$-1,366,452","$-1,258,891",-10.92%,-9.73%,58.4%,3,"-245,114",Reject,45
