Project_ID,Department,Investment_Cost,Expected_Cashflow_Year1,Expected_Cashflow_Year2,Expected_Cashflow_Year3,Historical_ROI,Market_Growth,Project_Risk,NPV,Profitability_Index,Simple_Payback_Period,Capital_Efficiency,Risk_Adjusted_Return,Predicted_NPV,Predicted_Success_Probability,Expected_Value,Priority_Score,Recommendation,Rank
43,IT,"$664,685",963910,2285000,"$2,068,163",24.00%,0.14,Medium,"$3,653,868",5.497142319782969,0.37502870470254496,2.502193466028201,$3,"$2,533,058",65.7%,"$1,663,170",0.8889999999999999,Fund,1
3,Finance,"$2,516,182",1372905,1998260,"$2,312,990",19.00%,0.02,High,"$2,121,152",0.8430040519077473,1.3279979170159886,0.5213392817973387,$1,"$1,545,149",84.9%,"$1,311,785",0.8640000000000001,Fund,2
45,Marketing,"$1,411,736",1700237,1677880,"$1,711,909",11.00%,-0.01,Low,"$2,806,794",1.9881863573975813,0.8320601898688738,1.107659027226013,$1,"$2,188,235",71.5%,"$1,563,722",0.8450000000000001,Fund,3
25,Marketing,"$1,970,928",1787095,1049238,"$1,530,415",25.00%,0.15,Medium,"$1,670,666",0.8476545577407252,1.3540474513289837,0.5512677032249209,$1,"$1,493,024",72.8%,"$1,086,509",0.8400000000000001,Fund,4
13,Operations,"$3,485,357",1475472,2366121,"$2,340,227",15.00%,0.05,Low,"$1,569,700",0.4503700095037965,1.691422752521899,0.3363072387297386,$0,"$1,356,990",86.4%,"$1,172,151",0.8330000000000001,Fund,5
36,Finance,"$2,758,505",1383382,2059021,"$1,169,043",22.00%,0.01,Medium,"$1,079,105",0.39119180741897047,1.7945596674003372,0.33094906432895127,$0,"$1,063,292",85.9%,"$912,925",0.805,Fund,6
42,Operations,"$2,685,031",401279,1553165,"$2,515,604",24.00%,0.12,High,"$853,386",0.3178309849431279,1.8020148776913791,0.3353664249168022,$0,"$1,064,836",84.6%,"$900,469",0.7889999999999999,Fund,7
9,Operations,"$2,686,644",1335160,2022990,"$1,546,176",12.00%,0.08,Medium,"$1,360,695",0.5064665410691132,1.6434331649231861,0.36990156514490474,$0,"$1,197,589",83.0%,"$993,794",0.773,Fund,8
18,Marketing,"$2,845,683",1554384,1148591,"$2,738,612",16.00%,0.08,Low,"$1,574,202",0.5531894640034087,1.5688527997430335,0.33580699288399013,$0,"$1,410,859",67.7%,"$955,600",0.7470000000000001,Fund,9
40,Operations,"$3,147,262",1474289,1751240,"$1,791,093",17.00%,0.02,Medium,"$985,981",0.3132822094531383,1.8821003456099252,0.18643279750274672,$0,"$732,967",80.1%,"$586,753",0.669,Fund,10
10,IT,"$2,670,406",1660908,947421,"$1,936,013",7.00%,0.0,High,"$1,077,058",0.403331233998763,1.7628994472675497,0.3119164585379088,$0,"$1,094,543",76.1%,"$832,944",0.661,Fund,11
28,IT,"$1,873,415",1227888,93585,"$1,356,002",23.00%,0.13,Medium,"$338,974",0.180939175804918,2.099084025058573,0.08653438375465806,$0,"$213,924",75.8%,"$162,115",0.622,Fund,12
35,IT,"$296,769",1806187,2173091,"$731,669",23.00%,-0.03,Medium,"$3,690,876",12.436864719986417,0.18898684277268094,5.052933693138427,$5,"$2,626,679",57.1%,"$1,499,554",0.856,Review,13
39,Finance,"$1,146,797",1046107,125766,"$2,958,926",18.00%,0.05,Low,"$2,131,233",1.8584222884992476,0.832863327408935,0.9834341386768564,$1,"$2,005,883",56.2%,"$1,127,799",0.777,Review,14
37,Marketing,"$1,371,741",1893400,1251482,"$2,256,903",24.00%,-0.01,Medium,"$3,079,459",2.2449274316361465,0.7618265073485365,0.7949615046067683,$1,"$2,346,496",46.5%,"$1,090,481",0.756,Review,15
49,IT,"$123,247",1371685,1848792,"$2,169,823",9.00%,0.01,High,"$4,281,887",34.74232047514584,0.06859377029104025,10.386650704734578,$10,"$2,597,674",49.3%,"$1,280,124",0.751,Review,16
41,Operations,"$1,684,398",888688,1034346,"$2,608,231",12.00%,0.03,Medium,"$1,937,934",1.1505203290713846,1.1151839497351521,0.45603018369497555,$0,"$1,582,062",48.6%,"$768,136",0.623,Review,17
15,Marketing,"$1,565,689",352918,2066716,"$815,313",19.00%,0.04,High,"$1,075,732",0.6870662192735139,1.4519764929674717,0.3904272366703316,$0,"$1,240,923",49.3%,"$611,288",0.619,Review,18
33,Marketing,"$2,195,505",900937,2111083,"$2,272,809",22.00%,0.06,Medium,"$2,075,820",0.9454865153578906,1.2463061718735384,0.32076147129202853,$0,"$1,580,347",44.6%,"$704,233",0.607,Review,19
16,Finance,"$168,148",314712,2400770,"$1,581,266",20.00%,0.02,Low,"$3,290,090",19.566630623978764,0.11740134632043765,3.7151104979192775,$4,"$2,514,709",24.8%,"$624,688",0.5841000000000001,Review,20
31,Finance,"$371,836",184633,159556,"$2,889,604",19.00%,0.02,Medium,"$2,098,879",5.644636072280525,0.3449534339393292,1.9040189065100381,$2,"$2,402,454",29.5%,"$707,983",0.5769,Review,21
7,Finance,"$628,178",976075,234064,"$2,132,263",19.00%,0.06,Medium,"$2,054,605",3.2707369292139474,0.5638262542920656,0.8945534294402541,$1,"$2,274,241",24.7%,"$561,939",0.49860000000000004,Review,22
